Counter Name,Count,Timestamp
Button Press Count (ESP1),1,1729470843.191339
Button Press Count (ESP1),2,1729470844.638175
Button Press Count (ESP1),3,1729470845.867338
Wrong Button 2 Count (ESP5),1,1729470847.200622
Wrong Button 1 Count (ESP4),1,1729470848.529344
Wrong Button 2 Count (ESP5),2,1729470850.142903
Wrong Button 1 Count (ESP4),2,1729470851.6321468
Wrong Button 2 Count (ESP5),3,1729470853.8545332
Wrong Button 2 Count (ESP5),4,1729470856.209972

   Final Button Press Count (ESP1),3
   Final Wrong Button 1 Count (ESP4),2
   Final Wrong Button 2 Count (ESP5),4
